,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,Expected US Yield,Excess Yield,Z-Spread,Excess Yield Bucket
467,INDONESIA (REPUBLIC OF) RegS,Sovereign,Fixed Income,"15,483,595.17",0.1,"15,483,595.17","15,064,000.00",-,USY20721BR90,BYNXKL4,102.19,Indonesia,-,USD,13.01,5.08,1.0,"Jan 08, 2047",5.25,13.11,-,5.08,13.11,5.08,USD,"Dec 08, 2016","Dec 08, 2016",3.943768,1.1362320000000001,0.824131434259275,1-2
472,INDONESIA (REPUBLIC OF),Sovereign,Fixed Income,"15,336,085.57",0.1,"15,336,085.57","17,321,000.00",455780CT1,US455780CT15,-,87.09,Indonesia,-,USD,14.63,5.1,1.0,"Oct 15, 2050",4.2,14.72,-,5.1,14.72,5.1,USD,"Apr 15, 2020","Apr 15, 2020",4.003384,1.096616,1.307209860374924,1-2
474,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"15,305,504.92",0.1,"15,305,504.92","17,354,000.00",-,USY6972HLP91,-,86.56,Philippines,-,USD,13.46,5.22,1.0,"Mar 29, 2047",4.2,13.55,-,5.22,13.55,5.22,USD,"Mar 29, 2022","Mar 29, 2022",3.960328,1.2596719999999997,1.441307138181006,1-2
475,PERTAMINA PERSERO PT MTN RegS,Agency,Fixed Income,"15,288,714.84",0.1,"15,288,714.84","15,135,000.00",-,USY7138AAF76,B99BSP7,99.63,Indonesia,-,USD,11.31,5.66,1.0,"May 20, 2043",5.63,11.33,-,5.66,11.33,5.66,USD,"May 20, 2013","May 20, 2013",3.881208,1.7787920000000002,1.4469400810691664,1-2
484,INDONESIA (REPUBLIC OF),Sovereign,Fixed Income,"14,843,657.58",0.1,"14,843,657.58","20,355,000.00",455780CW4,US455780CW44,BNBSB44,71.59,Indonesia,-,USD,15.91,4.99,1.0,"Mar 12, 2051",3.05,15.99,-,4.99,15.99,4.99,USD,"Jan 12, 2021","Jan 12, 2021",4.050488,0.9395120000000006,1.669687173525841,0-1
490,INDONESIA (REPUBLIC OF) MTN RegS,Sovereign,Fixed Income,"14,564,222.21",0.09,"14,564,222.21","13,148,000.00",-,USY20721BP35,BYVNQ29,110.09,Indonesia,-,USD,12.32,5.16,1.0,"Jan 08, 2046",5.95,12.41,-,5.16,12.41,5.16,USD,"Dec 08, 2015","Dec 08, 2015",3.918376,1.2416240000000003,0.6535379410424088,1-2
499,UNITED ARAB EMIRATES (GOVERNMENT O MTN RegS,Sovereign,Fixed Income,"14,177,277.50",0.09,"14,177,277.50","19,788,000.00",-,XS2397055703,-,70.56,United Arab Emirates,-,USD,18.36,5,1.0,"Oct 19, 2061",3.25,18.07,-,5,18.07,5.0,USD,"Oct 19, 2021","Oct 19, 2021",4.140648,0.8593520000000003,1.6478807376202116,0-1
506,PERTAMINA PERSERO PT RegS,Agency,Fixed Income,"13,352,869.17",0.09,"13,352,869.17","12,715,000.00",-,USY7138AAD29,B76MX65,103.25,Indonesia,-,USD,10.77,5.71,1.0,"May 03, 2042",6.0,10.76,-,5.71,10.76,5.71,USD,"May 03, 2012","May 03, 2012",3.861336,1.8486639999999999,1.336628406072981,1-2
514,DP WORLD LTD MTN RegS,Agency,Fixed Income,"12,776,412.19",0.08,"12,776,412.19","12,701,000.00",-,XS1883879006,BG0QQJ0,98.34,United Arab Emirates,-,USD,12.65,5.75,1.0,"Sep 25, 2048",5.63,12.72,-,5.75,12.72,5.75,USD,"Sep 25, 2018","Sep 25, 2018",3.93052,1.81948,1.5989273459802258,1-2
523,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"12,498,523.52",0.08,"12,498,523.52","15,179,000.00",168863CE6,US168863CE60,BDT5NK7,81.72,Chile,-,USD,13.92,5.24,1.0,"Jun 21, 2047",3.86,14.01,-,5.24,14.01,5.24,USD,"Jun 21, 2017","Jun 21, 2017",3.977256,1.262744,1.6444788138518824,1-2
534,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"11,910,963.21",0.08,"11,910,963.21","14,538,000.00",168863DW5,US168863DW59,-,81.72,Chile,-,USD,15.13,5.27,1.0,"Jan 31, 2052",4.0,15.26,-,5.27,15.26,5.27,USD,"Jan 31, 2022","Jan 31, 2022",4.021784,1.2482159999999993,1.6005595357505737,1-2
